Gss_code,Name,Area_in_square_kilometres,Landuse_proportion_Community_service(2022),Landuse_proportion_Industry_and_commerce(2022),Landuse_proportion_Minerals_and_landfill(2022),Landuse_proportion_Residential(2022),Landuse_proportion_Transport_and_utilities(2022),Landuse_proportion_Unknown_developed_use(2022),Landuse_proportion_Agriculture(2022),Landuse_proportion_Forest_open_land_and_water(2022),Landuse_proportion_Outdoor_recreation(2022),Landuse_proportion_Residential_gardens(2022),Landuse_proportion_Undeveloped_land(2022),Landuse_proportion_Vacant(2022),Landuse_proportion_Grand_Total(2022)
E09000002,Barking and Dagenham,37.8,5.76,5.42,0.03,9.69,18.52,9.34,3.75,2.15,14.12,23.12,5.27,2.84,100
E09000003,Barnet,86.75,5.44,0.89,0,10.23,14.84,4.48,10.73,8.19,12.13,27.79,3.96,1.3,100
E09000004,Bexley,64.29,4.86,2.37,0.08,9.56,14.06,7.54,10.43,9.2,7.88,28.85,4.52,0.64,100
E09000005,Brent,43.23,5.59,3.92,0.02,13.93,21.26,7.03,0.43,3.24,10.74,29.89,3.48,0.48,100
E09000006,Bromley,150.13,3.59,0.53,0.04,6.23,10.32,2.91,27.05,11.94,11.19,23.53,2.57,0.1,100
E09000007,Camden,21.79,5.49,4.19,0.11,15.93,23.09,7.95,0.17,1.54,17.64,19.01,4.21,0.66,100
E09000001,City of London,3.15,4.96,18.1,0.32,7.47,32.06,30.63,-,0.39,2.41,0.22,1.99,1.44,100
E09000008,Croydon,86.49,5,1.28,0,10.15,14.83,4.41,4.92,9.01,14.85,32.17,3.11,0.26,100
E09000009,Ealing,55.54,5.09,3.48,-,12.21,18.42,7.79,5.24,5.14,14.37,24.72,2.08,1.45,100
E09000010,Enfield,82.2,4.41,1.91,-,8.23,13.2,6.26,17.19,9.73,13.58,21.26,3.72,0.5,100
E09000011,Greenwich,50.44,5.77,2.31,0.01,10.43,17.59,8.36,1.31,8.03,15.86,23.63,6.06,0.63,100
E09000012,Hackney,19.05,5.4,2.78,0,18.27,21.89,9.58,0.05,3.48,13.83,18.63,5.67,0.42,100
E09000013,Hammersmith and Fulham,17.15,7.24,3.73,-,18.76,24.97,8.7,2,1.55,10.81,17.03,2.48,2.7,100
E09000014,Haringey,29.6,5.18,2.44,0,16.16,19.66,6.78,1.39,5.1,12.63,25.98,3.98,0.69,100
E09000015,Harrow,50.46,6.71,0.89,-,11.54,14.49,3.46,7.84,8.13,10.66,34.1,1.71,0.46,100
E09000016,Havering,114.46,2.8,1.24,0,5.97,10.91,5.65,27.86,10.42,12.41,19.47,2.18,1.08,100
E09000017,Hillingdon,115.7,3.67,1.61,0.15,5.87,22.84,4.83,17.97,12.74,10.17,18.21,0.74,1.21,100
E09000018,Hounslow,56.59,4.32,2.91,0.01,9.35,15.49,9.17,7.58,7.62,15.92,20.6,6.44,0.58,100
E09000019,Islington,14.86,4.25,4.41,-,20.82,26.14,10.81,0.04,1.64,4.87,20.59,5.83,0.6,100
E09000020,Kensington and Chelsea,12.38,7.18,3.29,-,23.32,27.53,7.2,0.17,1.71,6.81,18.08,3.74,0.97,100
E09000021,Kingston upon Thames,37.26,4.31,1.41,0,10.58,14.71,4.94,16.22,6.54,10.22,30.7,0,0.34,100
E09000022,Lambeth,27.25,4.92,2.4,-,19.09,22.87,8.82,0.77,1,8.55,26.28,4.86,0.44,100
E09000023,Lewisham,35.32,4.94,1.29,-,14.79,20.57,7.21,0.61,3.22,10.98,31.24,4.72,0.41,100
E09000024,Merton,37.62,5.6,2.19,0.01,11.76,15.75,6.52,3.86,2.3,25,26.67,0.13,0.21,100
E09000025,Newham,38.58,8.91,4.25,0.08,13.35,23.49,12.12,0.48,5.99,7.17,16.78,5.41,1.97,100
E09000026,Redbridge,56.44,4.66,1.06,0,11.2,14.56,3.89,9.08,3.75,22.18,26.46,3.01,0.15,100
E09000027,Richmond upon Thames,58.76,4.78,0.73,-,8.53,10.47,4.04,4.21,5.84,40.99,19.69,0.59,0.13,100
E09000028,Southwark,29.91,7.31,2.94,0.1,15.27,21.3,11.35,0.53,3.09,12.16,19.58,5.59,0.78,100
E09000029,Sutton,43.85,3.96,1.87,0.02,10.7,14.28,6.49,8.81,4.01,13.39,35.05,1.18,0.23,100
E09000030,Tower Hamlets,21.58,5.75,4.75,0,15.55,24.37,15.49,0.13,3.97,11.33,10.88,5.47,2.31,100
E09000031,Waltham Forest,38.81,5.05,2.18,0.05,13.04,17.04,6.13,1.78,16.4,7.68,23.92,6.49,0.24,100
E09000032,Wandsworth,35.22,7.81,1.95,0.01,17.04,20.14,7.01,4.61,1.19,17.7,21.09,0.2,1.24,100
E09000033,Westminster,22.03,3.89,8.36,-,17.56,26.39,8.36,0.01,2.12,20.23,8.69,3.58,0.81,100
