,BoroName,ListingsCounts,MeanHouselPrice2021,MeanHousePrice2022,HousepriceChange21-22,BoroCode,MedRentalPrice2021,MedRentalPrice2022,RentalpriceChange21-22,Area(km2),PropCommunity,PropCommerce,PropResidential,PropTransport
0,Westminster,7763,858524.19,944440.75,85916.56000000006,E09000033,2167,2275,108,22.03,3.89,8.36,17.56,26.39
1,Tower Hamlets,5595,457109.46,484026.09,26916.630000000005,E09000030,1550,1650,100,21.58,5.75,4.75,15.55,24.37
2,Hackney,5168,580537.99,628689.94,48151.94999999995,E09000012,1600,1712,112,19.05,5.4,2.78,18.27,21.89
3,Camden,4707,814597.11,829856.91,15259.800000000047,E09000007,1675,1780,105,21.79,5.49,4.19,15.93,23.09
4,Kensington and Chelsea,4612,1213616.63,1362055.48,148438.8500000001,E09000020,2171,2300,129,12.38,7.18,3.29,23.32,27.53
5,Southwark,3968,510955.83,542971.06,32015.23000000004,E09000028,1600,1700,100,29.91,7.31,2.94,15.27,21.3
6,Islington,3790,658209.86,717486.6,59276.73999999999,E09000019,1625,1733,108,14.86,4.25,4.41,20.82,26.14
7,Lambeth,3719,534190.72,544772.06,10581.340000000084,E09000022,1600,1700,100,27.25,4.92,2.4,19.09,22.87
8,Wandsworth,3473,589862.66,638840.62,48977.95999999996,E09000032,1700,1810,110,35.22,7.81,1.95,17.04,20.14
9,Hammersmith and Fulham,2996,736566.36,772446.89,35880.53000000003,E09000013,1647,1750,103,17.15,7.24,3.73,18.76,24.97
10,Brent,2068,514874.04,528087.42,13213.380000000063,E09000005,1400,1450,50,43.23,5.59,3.92,13.93,21.26
11,Lewisham,2016,431607.82,455005.2,23397.380000000005,E09000023,1300,1315,15,35.32,4.94,1.29,14.79,20.57
12,Haringey,1898,561878.77,577614.02,15735.25,E09000014,1400,1475,75,29.6,5.18,2.44,16.16,19.66
13,Newham,1682,387428.97,414585.93,27156.96000000002,E09000025,1474,1461,-13,38.58,8.91,4.25,13.35,23.49
14,Barnet,1611,547181.09,599286.62,52105.53000000003,E09000003,1350,1400,50,86.75,5.44,0.89,10.23,14.84
15,Ealing,1553,499173.33,537694.8,38521.47000000003,E09000009,1400,1450,50,55.54,5.09,3.48,12.21,18.42
16,Greenwich,1514,409034.48,440375.34,31340.860000000044,E09000011,1350,1400,50,50.44,5.77,2.31,10.43,17.59
17,Waltham Forest,1322,473999.01,501172.3,27173.28999999998,E09000031,1300,1350,50,38.81,5.05,2.18,13.04,17.04
18,Merton,1114,538534.87,573675.85,35140.97999999998,E09000024,1450,1523,73,37.62,5.6,2.19,11.76,15.75
19,Richmond upon Thames,1108,694011.91,768604.86,74592.94999999995,E09000027,1550,1625,75,58.76,4.78,0.73,8.53,10.47
20,Hounslow,1078,426003.96,441269.38,15265.419999999984,E09000018,1300,1350,50,56.59,4.32,2.91,9.35,15.49
21,Croydon,1066,395208.18,416641.1,21432.919999999984,E09000008,1200,1200,0,86.49,5.0,1.28,10.15,14.83
22,Hillingdon,714,426915.84,465352.27,38436.42999999999,E09000017,1200,1250,50,115.7,3.67,1.61,5.87,22.84
23,Redbridge,669,452252.79,473162.51,20909.72000000003,E09000026,1250,1300,50,56.44,4.66,1.06,11.2,14.56
24,Enfield,617,419335.57,453552.14,34216.57000000001,E09000010,1300,1332,32,82.2,4.41,1.91,8.23,13.2
25,Kingston upon Thames,609,511720.01,541275.18,29555.170000000042,E09000021,1305,1325,20,37.26,4.31,1.41,10.58,14.71
26,Bromley,594,467758.12,508544.88,40786.76000000001,E09000006,1258,1300,42,150.13,3.59,0.53,6.23,10.32
27,Harrow,444,486389.57,523508.93,37119.359999999986,E09000015,1350,1400,50,50.46,6.71,0.89,11.54,14.49
28,Barking and Dagenham,433,314018.87,342083.45,28064.580000000016,E09000002,1200,1300,100,37.8,5.76,5.42,9.69,18.52
29,City of London,424,773731.64,830376.17,56644.53000000003,E09000001,1684,1815,131,3.15,4.96,18.1,7.47,32.06
30,Bexley,411,362242.01,395012.08,32770.07000000001,E09000004,1200,1250,50,64.29,4.86,2.37,9.56,14.06
31,Havering,329,387274.96,428988.56,41713.59999999998,E09000016,1195,1250,55,114.46,2.8,1.24,5.97,10.91
32,Sutton,286,396811.61,437192.37,40380.76000000001,E09000029,1100,1150,50,43.85,3.96,1.87,10.7,14.28
,BoroName,ListingsCounts,MeanHouselPrice2021,MeanHousePrice2022,HousepriceChange21-22,BoroCode,MedRentalPrice2021,MedRentalPrice2022,RentalpriceChange21-22,PropCommunity,PropCommerce,PropResidential,PropTransport
0,Westminster,7763,858524.19,944440.75,85916.56000000006,E09000033,2167,2275,108,3.89,8.36,17.56,26.39
1,Tower Hamlets,5595,457109.46,484026.09,26916.630000000005,E09000030,1550,1650,100,5.75,4.75,15.55,24.37
2,Hackney,5168,580537.99,628689.94,48151.94999999995,E09000012,1600,1712,112,5.4,2.78,18.27,21.89
3,Camden,4707,814597.11,829856.91,15259.800000000047,E09000007,1675,1780,105,5.49,4.19,15.93,23.09
4,Kensington and Chelsea,4612,1213616.63,1362055.48,148438.8500000001,E09000020,2171,2300,129,7.18,3.29,23.32,27.53
5,Southwark,3968,510955.83,542971.06,32015.23000000004,E09000028,1600,1700,100,7.31,2.94,15.27,21.3
6,Islington,3790,658209.86,717486.6,59276.73999999999,E09000019,1625,1733,108,4.25,4.41,20.82,26.14
7,Lambeth,3719,534190.72,544772.06,10581.340000000084,E09000022,1600,1700,100,4.92,2.4,19.09,22.87
8,Wandsworth,3473,589862.66,638840.62,48977.95999999996,E09000032,1700,1810,110,7.81,1.95,17.04,20.14
9,Hammersmith and Fulham,2996,736566.36,772446.89,35880.53000000003,E09000013,1647,1750,103,7.24,3.73,18.76,24.97
10,Brent,2068,514874.04,528087.42,13213.380000000063,E09000005,1400,1450,50,5.59,3.92,13.93,21.26
11,Lewisham,2016,431607.82,455005.2,23397.380000000005,E09000023,1300,1315,15,4.94,1.29,14.79,20.57
12,Haringey,1898,561878.77,577614.02,15735.25,E09000014,1400,1475,75,5.18,2.44,16.16,19.66
13,Newham,1682,387428.97,414585.93,27156.96000000002,E09000025,1474,1461,-13,8.91,4.25,13.35,23.49
14,Barnet,1611,547181.09,599286.62,52105.53000000003,E09000003,1350,1400,50,5.44,0.89,10.23,14.84
15,Ealing,1553,499173.33,537694.8,38521.47000000003,E09000009,1400,1450,50,5.09,3.48,12.21,18.42
16,Greenwich,1514,409034.48,440375.34,31340.860000000044,E09000011,1350,1400,50,5.77,2.31,10.43,17.59
17,Waltham Forest,1322,473999.01,501172.3,27173.28999999998,E09000031,1300,1350,50,5.05,2.18,13.04,17.04
18,Merton,1114,538534.87,573675.85,35140.97999999998,E09000024,1450,1523,73,5.6,2.19,11.76,15.75
19,Richmond upon Thames,1108,694011.91,768604.86,74592.94999999995,E09000027,1550,1625,75,4.78,0.73,8.53,10.47
20,Hounslow,1078,426003.96,441269.38,15265.419999999984,E09000018,1300,1350,50,4.32,2.91,9.35,15.49
21,Croydon,1066,395208.18,416641.1,21432.919999999984,E09000008,1200,1200,0,5.0,1.28,10.15,14.83
22,Hillingdon,714,426915.84,465352.27,38436.42999999999,E09000017,1200,1250,50,3.67,1.61,5.87,22.84
23,Redbridge,669,452252.79,473162.51,20909.72000000003,E09000026,1250,1300,50,4.66,1.06,11.2,14.56
24,Enfield,617,419335.57,453552.14,34216.57000000001,E09000010,1300,1332,32,4.41,1.91,8.23,13.2
25,Kingston upon Thames,609,511720.01,541275.18,29555.170000000042,E09000021,1305,1325,20,4.31,1.41,10.58,14.71
26,Bromley,594,467758.12,508544.88,40786.76000000001,E09000006,1258,1300,42,3.59,0.53,6.23,10.32
27,Harrow,444,486389.57,523508.93,37119.359999999986,E09000015,1350,1400,50,6.71,0.89,11.54,14.49
28,Barking and Dagenham,433,314018.87,342083.45,28064.580000000016,E09000002,1200,1300,100,5.76,5.42,9.69,18.52
29,City of London,424,773731.64,830376.17,56644.53000000003,E09000001,1684,1815,131,4.96,18.1,7.47,32.06
30,Bexley,411,362242.01,395012.08,32770.07000000001,E09000004,1200,1250,50,4.86,2.37,9.56,14.06
31,Havering,329,387274.96,428988.56,41713.59999999998,E09000016,1195,1250,55,2.8,1.24,5.97,10.91
32,Sutton,286,396811.61,437192.37,40380.76000000001,E09000029,1100,1150,50,3.96,1.87,10.7,14.28
,BoroName,ListingsCounts,MeanHouselPrice2021,MeanHousePrice2022,HousepriceChange21-22,gss_code,MedRentalPrice2021,MedRentalPrice2022,RentalpriceChange21-22,PropCommunity,PropCommerce,PropResidential,PropTransport
0,Westminster,7763,858524.19,944440.75,85916.56000000006,E09000033,2167,2275,108,3.89,8.36,17.56,26.39
1,Tower Hamlets,5595,457109.46,484026.09,26916.630000000005,E09000030,1550,1650,100,5.75,4.75,15.55,24.37
2,Hackney,5168,580537.99,628689.94,48151.94999999995,E09000012,1600,1712,112,5.4,2.78,18.27,21.89
3,Camden,4707,814597.11,829856.91,15259.800000000047,E09000007,1675,1780,105,5.49,4.19,15.93,23.09
